id,priority,analysis_status,source_status,primary_type,year,title,authors,venue,doi,official_page,official_full_text,local_pdf,research_family,product_representation,lifecycle_coverage,supply_chain_event,manufacturing_transition,provenance,coc_model,privacy_target,verification_statement,data_trust_consistency,trust_assumption,implementation_evaluation,note_path
RW-01,1,원문 분석,Local PDF,Supply Chain Scheme,2020,Enabling Privacy and Traceability in Supply Chains using Blockchain and Zero Knowledge Proofs,Shubham Sahai; Nitin Singh; Pankaj Dayama,IEEE Blockchain 2020,10.1109/Blockchain50366.2020.00024,https://doi.org/10.1109/Blockchain50366.2020.00024,https://research.ibm.com/publications/enabling-privacy-and-traceability-in-supply-chains-using-blockchain-and-zero-knowledge-proofs,Papers/Core/Sahai 등 - 2020 - Enabling Privacy and Traceability in Supply Chains using Blockchain and Zero Knowledge Proofs.pdf,Sahai 2020,Private supply-chain documents and on-chain document assets,Entry to Exit,Entry; Ship; Merge; Split; Process; Exit,Yes,InDocs graph and upstream accumulator,Document-consumption graph,Document content; participant linkage; recipient,Hidden document relation and upstream-set membership,Salted Merkle commitment; ZKP relation; RSA accumulator,Trusted Entry and physical-digital handoff,Hyperledger Fabric and libsnark evaluation,Papers/Related Works/notes/01-sahai-2020.md
RW-02,2,이해 확정,Local PDF,Supply Chain Scheme,2020,Tracing manufacturing processes using blockchain-based token compositions,Martin Westerkamp; Friedhelm Victor; Axel Küpper,Digital Communications and Networks 6(2),10.1016/j.dcan.2019.01.007,https://doi.org/10.1016/j.dcan.2019.01.007,https://www.sciencedirect.com/science/article/pii/S235286481830244X,Papers/Unclassified/Blockchain-based Supply Chain Traceability - Token Recipes model Manufacturing Processes.pdf,Token Recipes 2018-2020,Batch-specific non-fungible token,Production and transfer,Create; Transfer; Transform by recipe,Yes,Recursive event-log traversal,Ingredient-to-product composition,Not a primary goal,Recipe input consumption and output minting,Smart-contract enforcement and event provenance,Correct physical-token binding,EVM prototype and gas scaling,Papers/Related Works/notes/02-token-recipes-family.md
RW-03,11,원문 분석,Local PDF,Supply Chain Scheme,2022,PrivChain: Provenance and Privacy Preservation in Blockchain enabled Supply Chains,Sidra Malik; Volkan Dedeoglu; Salil S. Kanhere; Raja Jurdak,IEEE Blockchain 2022,10.1109/Blockchain55522.2022.00030,https://doi.org/10.1109/Blockchain55522.2022.00030,https://arxiv.org/abs/2104.13964,Papers/Unclassified/PrivChain - Provenance and Privacy Preservation in Blockchain enabled Supply Chains.pdf,PrivChain,Commodity batch and supply-chain transactions,Producer to consumer query,Create; Trade; Pay; Produce; Query,Limited,Verified origin-region claim,Provenance claim chain,Exact location; trader; amount; raw identifiers,Region membership and committed amount range,Pedersen commitment; range proof; signatures,Credential issuers and honest physical observation,Hyperledger Fabric proof-of-concept,Papers/Related Works/notes/03-privchain-2022.md
RW-04,4,원문 분석,Local PDF,Supply Chain Scheme,2019,Enhancing Blockchain Traceability with DAG-Based Tokens,Hiroki Watanabe; Tatsuro Ishida; Shigenori Ohashi; Shigeru Fujimura; Atsushi Nakadaira; Kota Hidaka; Jay Kishigami,IEEE Blockchain 2019,10.1109/Blockchain.2019.00036,https://doi.org/10.1109/Blockchain.2019.00036,,IEEE Blockchain Conference/2019/Enhancing_Blockchain_Traceability_with_DAG-Based_Tokens.pdf,DAG-Based Tokens,Token state in a directed acyclic graph,Token history,Transfer; Merge; Split; Fork,Structural,DAG history traversal,Token state lineage,Not a primary goal,History pointer validity,On-chain token-state links,Correct physical-token binding,Ethereum prototype and retrieval-time evaluation,Papers/Related Works/notes/04-dag-tokens-2019.md
RW-05,Excluded-PhysicalTrust,제외,Local PDF,Supply Chain Scheme,2019,TrustChain: Trust Management in Blockchain and IoT Supported Supply Chains,Sidra Malik; Volkan Dedeoglu; Salil S. Kanhere; Raja Jurdak,IEEE Blockchain 2019,10.1109/Blockchain.2019.00032,https://doi.org/10.1109/Blockchain.2019.00032,https://arxiv.org/abs/1906.01831,Papers/Unclassified/TrustChain - Trust Management in Blockchain and IoT supported Supply Chains.pdf,TrustChain,Commodity and participant reputation records,Production and trade observations,Create; Trade; Monitor; Rate,No,Immutable interaction trail,Reputation from observations,Not a primary goal,Commodity quality and participant reputation calculation,Signatures; IoT observations; smart-contract reputation,Observation sources and rating model,Hyperledger Composer and Caliper evaluation,Papers/Related Works/notes/05-trustchain-2019.md
RW-06,14,원문 분석,Local PDF,Supply Chain Scheme,2021,TradeChain: Decoupling Traceability and Identity in Blockchain enabled Supply Chains,Sidra Malik; Naman Gupta; Volkan Dedeoglu; Salil S. Kanhere; Raja Jurdak,IEEE TrustCom 2021,10.1109/TrustCom53373.2021.00155,https://doi.org/10.1109/TrustCom53373.2021.00155,https://arxiv.org/abs/2105.11217,Papers/Unclassified/TradeChain - Decoupling Traceability and Identity in Blockchain enabled Supply Chains.pdf,TradeChain,DID credentials and trade-ledger identities,Identity registration to controlled audit,Register; Trade; Issue access token; Query,No,Authorized reconstruction of trade flow,Trade-flow audit,Participant identity and business relationships,Credential possession and query authorization,ZKP credential proof; CP-ABE; access token,Identity issuer and ledger governance,Hyperledger Indy and Fabric evaluation,Papers/Related Works/notes/06-tradechain-2021.md
RW-07,Excluded-PhysicalTrust,제외,Local PDF,Supply Chain Scheme,2021,Blockchain-Based Supply Chain System for Traceability Regulation and Anti-Counterfeiting,Wang Fat Lau; Dennis Y. W. Liu; Man Ho Au,IEEE Blockchain 2021,10.1109/Blockchain53845.2021.00022,https://doi.org/10.1109/Blockchain53845.2021.00022,,IEEE Blockchain Conference/2021/Blockchain-Based_Supply_Chain_System_for_Traceability_Regulation_and_Anti-Counterfeiting.pdf,IEEE traceability-regulation 2021,Product or batch records with or without UID,Manufacture; logistics; regulation; consumer query,Register; Manufacture; Transfer; Trace; Audit,Limited,Multi-hop origin tracing,DAG-shaped supply flow,Commercial data exposure not central,Signed record and tracing-rule validity,Blockchain signatures; regulated records; tracing algorithms,Authorized manufacturers and regulators,Prototype and complexity/performance evaluation,Papers/Related Works/notes/07-traceability-regulation-2021.md
RW-08,5,원문 분석,Local PDF,DPP-Supply Chain Integrated System,2024,Decentralized Ledger Technology for EPCIS 2.0: Utilizing NFTs for Enhanced Product Traceability,Fausto Neri da Silva Vanin; Yalew Kidane Tolcha; Rodrigo da Rosa Righi; Cristiano André da Costa; Daeyoung Kim,IEEE Blockchain 2024,10.1109/Blockchain62396.2024.00018,https://doi.org/10.1109/Blockchain62396.2024.00018,,IEEE Blockchain Conference/2024/Decentralized_Ledger_Technology_for_EPCIS_2.0_Utilizing_NFTs_for_Enhanced_Product_Traceability.pdf,EPCIS2-NFT,NFT corresponding to product and EPCIS event record,EPCIS product lifecycle events,Object; Aggregation; Transformation; Transaction; Association,Yes,EPCIS event query,Standardized event semantics,Not a primary goal,NFT operation and EPCIS event mapping,Hash mapping; Fabric chaincode; originality checks,Event submitters and physical identifiers,Hyperledger Fabric and Caliper evaluation,Papers/Related Works/notes/08-epcis2-nft-2024.md
RW-09,10,원문 분석,Local PDF,Supply Chain Scheme,2026,ZKVeil: A Privacy-Preserving Compliance Verification Scheme for Blockchain-Enabled Supply Chain Transactions,Dongyu Cao; Bixin Li; Huijie Zhang; Yong Wang; Lulu Wang,IEEE TIFS 2026,10.1109/TIFS.2026.3660595,https://doi.org/10.1109/TIFS.2026.3660595,,Papers/Unclassified/ZKVeil_A_Privacy-Preserving_Compliance_Verification_Scheme_for_Blockchain-Enabled_Supply_Chain_Transactions.pdf,ZKVeil,Credential-backed private transaction attributes,Supply-chain transaction approval,Credential issue; Submit transaction; Verify compliance; Complete,No,Compliant transaction audit trail,Credential and transaction compliance,Identity; qualification; specification; amount,Credential authenticity and policy predicate,DID; VC; signature; encryption; ZKP,Trusted credential authorities and policy source,100-node private-chain evaluation,Papers/Related Works/notes/09-zkveil-2026.md
RW-10,8,원문 분석,Local PDF,DPP-Supply Chain Integrated System,2026,Zero-Knowledge Proof Extensions for Digital Product Passports in Sustainability Claims Reporting and Verifications,Chibuzor Udokwu; Stefan Craß,Electronics 15(4),10.3390/electronics15040745,https://doi.org/10.3390/electronics15040745,https://www.mdpi.com/2079-9292/15/4/745,Papers/DPP Reference/Udokwu 및 Craß - 2026 - Zero-Knowledge Proof Extensions for Digital Product Passports in Sustainability Claims Reporting and.pdf,DPP-ZKP-Extensions,DPP claim and credential representation,Sustainability reporting and verification,Issue claim; Present proof; Verify,No,Claim evidence chain,Credential-based sustainability claim,Underlying claim value,Sustainability claim predicate,VC and ZKP extension,Trusted claim issuer and source data,Prototype-oriented evaluation,Papers/Related Works/notes/10-dpp-zkp-extensions-2026.md
